year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2010,Nissan,Titan,SE,automatic,Texas,67740.0,white,black,nissan motor acceptance corporation,15000.0
2006,Nissan,Titan,SE,automatic,Texas,122762.0,white,gray,jpmorgan chase bank n.a.,6600.0
2007,Chevrolet,Equinox,LT,automatic,Texas,78180.0,gray,gray,capital one auto finance,7000.0
2008,Toyota,Camry,LE,automatic,Texas,100444.0,gray,gray,regional acceptance corporation / greensboro,6900.0
2008,Mazda,Mazda5,Touring,automatic,Texas,96752.0,gray,black,wells fargo dealer services,5400.0
2012,Volkswagen,Passat,SEL,automatic,Texas,99492.0,gray,gray,wheels exchange llc,10600.0
2013,Toyota,Corolla,LE,automatic,Texas,53043.0,black,tan,the hertz corporation,12400.0
2012,Volkswagen,Passat,SEL PZEV,automatic,Texas,19991.0,gray,black,vw credit,13000.0
2015,Kia,Cadenza,Premium,automatic,Texas,9151.0,silver,tan,kia motors america  inc,23000.0
2007,BMW,3 Series,328i,automatic,Texas,96216.0,white,tan,manheim dallas,7000.0
2014,Ford,Focus,SE,automatic,Texas,7835.0,gray,black,leif johnson ford,10500.0
2006,Chrysler,300,SRT-8,automatic,Texas,154426.0,silver,black,wells fargo dealer services,5100.0
2007,Nissan,Sentra,2.0 S,automatic,Texas,134186.0,blue,gray,dt credit corporation,3000.0
2011,Dodge,Journey,Mainstreet,automatic,Texas,68365.0,silver,black,santander consumer,12100.0
2010,Chevrolet,Silverado 1500,LT,automatic,Texas,96364.0,silver,black,wells fargo dealer services,18200.0
2007,HUMMER,H2,Base,automatic,Texas,74544.0,black,black,hopper motorplex inc,26700.0
2007,Kia,Sportage,LX,automatic,Texas,150096.0,burgundy,tan,mr bill motor company ltd,1300.0
2003,Chevrolet,Corvette,Z06,manual,Texas,102554.0,black,black,mid city mcandrew motors,13100.0
2014,Ford,Explorer,Limited,automatic,Texas,42659.0,white,black,avis corporation,26200.0
2013,Dodge,Avenger,SXT,automatic,Texas,34397.0,blue,black,santander consumer,11000.0
2014,Mazda,Mazda5,Sport,automatic,Texas,30547.0,gray,black,avis corporation,12800.0
2014,Ford,E-Series Van,E-250,UNKNOWN,Texas,16492.0,white,gray,u-haul international,18500.0
2009,Saab,9-3,Comfort,automatic,Texas,101397.0,black,gray,gm financial,3500.0
2014,Ford,Fusion,SE,automatic,Texas,6534.0,white,beige,td auto finance,14300.0
2009,Pontiac,G6,GT,automatic,Texas,76174.0,green,beige,regional acceptance corporation / greensboro,4800.0
2011,Ford,Expedition,XLT,automatic,Texas,56630.0,—,black,ford motor credit company llc,21300.0
2014,Ram,1500,Tradesman,automatic,Texas,19029.0,red,gray,chrysler capital,16400.0
2007,Nissan,Quest,3.5 S,automatic,Texas,98832.0,gray,beige,tdaf remarketing,5300.0
2014,Ford,Escape,SE,automatic,Texas,56168.0,green,gray,ford motor credit company,14200.0
2011,Dodge,Caliber,Heat,automatic,Texas,75885.0,white,—,santander consumer,8100.0
2014,Dodge,Challenger,R/T,automatic,Texas,30292.0,black,black,d&m leasing,23000.0
2011,Dodge,Challenger,Base,automatic,Texas,112617.0,gray,—,capital one auto finance,10200.0
2009,Dodge,Avenger,SE,automatic,Texas,109262.0,white,black,pm standley motorcars,5300.0
2012,Ford,F-350 Super Duty,XL,automatic,Texas,39921.0,white,gray,ge fleet services for itself/servicer,28000.0
2008,Cadillac,Escalade,Base,automatic,Texas,100105.0,blue,black,td auto finance,17900.0
2011,Nissan,Altima,2.5 S,automatic,Texas,71715.0,black,black,national auto lenders inc,8700.0
2008,Chevrolet,Silverado 1500,Work Truck,automatic,Texas,150397.0,gray,—,westlake financial services,11000.0
2013,Chevrolet,Suburban,LTZ 1500,automatic,Texas,39551.0,white,tan,td auto finance,35400.0
2006,Nissan,Maxima,3.5 SL,automatic,Texas,108767.0,red,tan,the hertz corporation,4900.0
2013,Chevrolet,Impala,LTZ,automatic,Texas,37735.0,black,gray,enterprise vehicle exchange/dfw airport,12700.0
