year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2010,Lexus,RX 350,Base,UNKNOWN,Pennsylvania,46295.0,black,beige,lindsay lexus of alexandria,19000.0
2011,Honda,Odyssey,EX,automatic,Pennsylvania,67019.0,gray,gray,ahfc/honda lease trust/hvt  inc. eot,13900.0
2013,Chevrolet,Cruze,LS,UNKNOWN,Pennsylvania,20714.0,white,black,gm financial leasing,11000.0
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,UNKNOWN,Pennsylvania,46106.0,black,black,allcar leasing,34600.0
2009,Honda,Civic,EX-L,automatic,Pennsylvania,131133.0,beige,brown,preston honda,8300.0
2014,Dodge,Journey,SXT,automatic,Pennsylvania,6997.0,silver,black,advantage opco llc,19600.0
2007,Ford,F-150,FX4,UNKNOWN,Pennsylvania,82887.0,black,black,crossroad motors llc,16500.0
2011,Lexus,RX 350,Base,UNKNOWN,Pennsylvania,47043.0,gold,tan,prestige lexus,22300.0
2012,Nissan,Altima,2.5 S,automatic,Pennsylvania,37613.0,blue,black,nissan-infiniti lt,10000.0
2012,Infiniti,G Sedan,G37x,UNKNOWN,Pennsylvania,40177.0,silver,black,nissan infiniti lt,19000.0
2012,Honda,Accord,EX-L,automatic,Pennsylvania,57748.0,gray,black,robert ss auto sales inc,13500.0
2014,Chrysler,Town and Country,Touring,UNKNOWN,Pennsylvania,24000.0,gray,black,enterprise holdings/gdp,19500.0
2007,Nissan,Pathfinder,LE,automatic,Pennsylvania,91477.0,black,beige,r hollenshead auto sales inc,10900.0
2014,Ford,F-150,SVT Raptor,automatic,Pennsylvania,2226.0,silver,black,rafferty subaru inc,50000.0
2014,Ford,Escape,SE,UNKNOWN,Pennsylvania,43443.0,gray,gray,avis corporation,17000.0
2013,Hyundai,Elantra,GLS,UNKNOWN,Pennsylvania,41734.0,white,tan,avis corporation,10700.0
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,UNKNOWN,Pennsylvania,57822.0,silver,gray,the hertz corporation,17100.0
2003,Chevrolet,Corvette,Z06,manual,Pennsylvania,57319.0,black,black,land rover sls & service of hoffman estates inc,18500.0
2011,Nissan,Maxima,3.5 SV,UNKNOWN,Pennsylvania,30745.0,red,black,nissan-infiniti lt,14800.0
2011,Lincoln,Navigator,L,UNKNOWN,Pennsylvania,129429.0,black,black,sports car leasing,19000.0
2013,Volkswagen,Passat,SE PZEV,UNKNOWN,Pennsylvania,63755.0,red,black,the hertz corporation,11000.0
2013,Audi,Q7,3.0T Premium Plus quattro,UNKNOWN,Pennsylvania,44574.0,gray,black,924 auto corp,35300.0
2007,Dodge,Caliber,SXT,automatic,Pennsylvania,75124.0,white,gray,bergeys chrysler jeep dodge,5600.0
2013,Scion,tC,Base,UNKNOWN,Pennsylvania,20689.0,red,black,world omni financial corporation,15400.0
2012,Acura,TL,Base,automatic,Pennsylvania,29209.0,black,black,ahfc/honda lease/trust/hvt  inc. eot acuras,17500.0
2015,Volkswagen,Passat,Wolfsburg Edition PZEV,UNKNOWN,Pennsylvania,26320.0,gray,black,enterprise-tra,12500.0
2012,Nissan,Maxima,3.5 S,automatic,Pennsylvania,44299.0,gray,black,meridian remarketing,12500.0
2012,Nissan,Versa,1.6 S,UNKNOWN,Pennsylvania,83591.0,white,gray,nissan motor acceptance corporation,5800.0
2012,Acura,TSX,Base,UNKNOWN,Pennsylvania,45412.0,black,black,ahfc/honda lease/trust/hvt  inc. eot acuras,16500.0
2013,Cadillac,ATS,Luxury,UNKNOWN,Pennsylvania,44960.0,beige,black,the hertz corporation,17500.0
2012,Acura,MDX,Base,automatic,Pennsylvania,8995.0,white,beige,adcock brothers inc,30200.0
2007,Porsche,Cayman,Base,manual,Pennsylvania,89406.0,silver,black,r hollenshead auto sales inc,14200.0
2012,Acura,TSX,Base,UNKNOWN,Pennsylvania,43808.0,silver,gray,ahfc/honda lease/trust/hvt  inc. eot acuras,16500.0
2012,Chevrolet,Express Cargo,2500,UNKNOWN,Pennsylvania,84671.0,white,gray,ge fleet services for itself/servicer,15600.0
2014,Honda,Civic,LX,automatic,Pennsylvania,6051.0,black,gray,ahfc/honda lease trust/hvt  inc.,14800.0
2004,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Pennsylvania,152388.0,silver,black,adcock brothers inc,5600.0
2009,Jeep,Wrangler,Unlimited Sahara,manual,Pennsylvania,57165.0,silver,gray,big tree auto brokers,20000.0
2010,Nissan,Sentra,2.0 SL,UNKNOWN,Pennsylvania,41825.0,blue,gray,nissan-infiniti lt,8100.0
2002,Mercedes-Benz,S-Class,S500,UNKNOWN,Pennsylvania,115410.0,silver,black,r hollenshead auto sales inc,5100.0
2012,BMW,6 Series,650i,automatic,Pennsylvania,12533.0,black,black,adcock brothers inc,52000.0
2012,Hyundai,Sonata,SE,UNKNOWN,Pennsylvania,37662.0,blue,gray,hyundai motor finance,12100.0
2011,Buick,Enclave,CXL1,UNKNOWN,Pennsylvania,46896.0,—,gray,r hollenshead auto sales inc,19500.0
2012,Acura,MDX,Technology Package,automatic,Pennsylvania,35984.0,black,black,jim coleman cadillac infiniti,30250.0
2013,BMW,3 Series,328i,manual,Pennsylvania,35707.0,silver,black,avis corporation,23600.0
