year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2012,BMW,5 Series,535i,automatic,California,23519.0,black,black,financial services remarketing (lease),35500.0
2003,Lincoln,Navigator,Ultimate,automatic,California,127521.0,black,black,s/s auto wholesale,3800.0
2014,Subaru,Outback,2.5i Premium PZEV,automatic,California,19697.0,red,black,subaru of america,22300.0
2010,BMW,3 Series,328i,automatic,California,91609.0,blue,beige,century dealer services corp,12200.0
2011,Chevrolet,Malibu,LS Fleet,automatic,California,75918.0,silver,gray,challenge financial services,8700.0
2011,Chevrolet,Tahoe,LT,automatic,California,76822.0,black,beige,wheels exchange llc,22000.0
2010,Acura,MDX,Base,automatic,California,48176.0,gray,beige,desert european motorcars,21750.0
2007,Jeep,Wrangler,Unlimited Sahara,automatic,California,88348.0,burgundy,gray,gulliver,15750.0
2012,Chevrolet,Silverado 1500,LT,automatic,California,50779.0,white,black,remarketing by ge/manheim utah,18000.0
2013,Ford,Explorer,XLT,automatic,California,55932.0,white,black,the hertz corporation,22400.0
2005,Pontiac,GTO,Base,manual,California,143586.0,black,red,yucca valley chrysler plymouth dodge inc,6900.0
2013,Nissan,Altima,2.5,automatic,California,34267.0,red,black,avis corporation,12300.0
2014,Nissan,Versa Note,1.6 SV,automatic,California,15568.0,silver,—,enterprise vehicle exchange / tra / rental / tulsa,6900.0
2012,MINI,Cooper,Base,automatic,California,18731.0,blue,—,bmw mini financial services,13500.0
2012,Hyundai,Sonata,GLS,automatic,California,15240.0,silver,gray,hyundai motor finance,13400.0
2008,Ford,F-150,XLT,automatic,California,101726.0,red,gray,skyhigh remarketing inc,9250.0
2009,Nissan,Versa,1.8 SL,UNKNOWN,California,32574.0,blue,black,premier motors inc,6000.0
2011,Jeep,Compass,Base,automatic,California,102852.0,gray,black,enterprise veh exchange/rental,7900.0
2004,Honda,Civic,Value Package,automatic,California,207439.0,green,tan,westlake financial services,2000.0
2008,Toyota,Yaris,Base,automatic,California,112787.0,gray,black,santander consumer,6100.0
2013,Volkswagen,Tiguan,S,automatic,California,47765.0,white,black,avis rac/san leandro,14200.0
2013,Mercedes-Benz,E-Class,E350 Sport,automatic,California,25341.0,—,black,mercedes-benz financial services,31250.0
2011,Mercedes-Benz,C-Class,C63 AMG,automatic,California,47736.0,black,black,mercedes-benz usa,28000.0
2014,Mazda,Mazda6,i Touring,automatic,California,10110.0,white,tan,mazda motors of america inc.,19250.0
2010,Acura,TSX,Base,automatic,California,67259.0,gray,beige,wells fargo dealer services,15200.0
2013,Hyundai,Elantra,GLS,automatic,California,22049.0,gray,gray,high bid trading co inc,11500.0
2000,Cadillac,DeVille,Base,automatic,California,73879.0,off-white,beige,toyota santa monica,2100.0
2006,Pontiac,GTO,Base,manual,California,45667.0,black,burgundy,sierra auto investment co,16100.0
2006,Ford,F-150,XL,manual,California,96608.0,blue,gray,worthington ford,4900.0
2014,Nissan,Altima,2.5 S,UNKNOWN,California,5019.0,black,black,nissan motor acceptance corporation,14750.0
2007,Acura,TL,Type-S,automatic,California,116882.0,silver,black,b & j car company,10300.0
2007,Lincoln,Mark LT,Base,UNKNOWN,California,104991.0,off-white,beige,bmw of riverside,15500.0
2014,Honda,Civic,EX-L,automatic,California,13890.0,black,black,american honda motor company,18600.0
1998,Ford,F-150,XL,automatic,California,233205.0,white,gray,jimmie johnson kearny mesa chevrolet,600.0
2003,BMW,7 Series,760Li,automatic,California,139243.0,gray,gray,santander consumer,4500.0
2010,Ford,Edge,SE,automatic,California,69435.0,silver,blue,credit acceptance corp/vrs/southfield,11000.0
2013,Hyundai,Genesis,3.8,automatic,California,39606.0,white,beige,high bid trading co inc,19500.0
2004,UNKNOWN,UNKNOWN,UNKNOWN,automatic,California,113051.0,off-white,tan,800 loan mart,2100.0
2010,UNKNOWN,UNKNOWN,UNKNOWN,automatic,California,39632.0,white,gray,wheels exchange llc,16750.0
2006,Dodge,Grand Caravan,SXT,automatic,California,90257.0,silver,gray,reliance motors llc,5100.0
2012,Toyota,Camry,LE,automatic,California,62653.0,blue,gray,dtg operations inc,11500.0
1997,Toyota,Avalon,XL,UNKNOWN,California,158570.0,gold,beige,billion dodge chrysler jeep,650.0
2012,MINI,Cooper,Base,automatic,California,20775.0,red,—,bmw mini financial services,14000.0
2005,Audi,A4,1.8T quattro,automatic,California,117852.0,black,black,car guy tz,3400.0
2013,Chrysler,200,Touring,automatic,California,35531.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,9200.0
2004,Ford,Econoline Cargo,E-250,UNKNOWN,California,147117.0,white,gray,clear view systems,3000.0
2014,Toyota,Camry,SE,automatic,California,9087.0,silver,black,onemain rem/m&m auto traders,17700.0
2003,Chevrolet,Silverado 2500HD,Base,automatic,California,78665.0,white,gray,clear view systems,4600.0
2013,Chevrolet,Equinox,LT,automatic,California,27754.0,black,black,m/r motors inc,17400.0
2013,Ford,Taurus,Limited,automatic,California,34456.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,6100.0
2012,Chevrolet,Impala,LT Fleet,automatic,California,64212.0,gold,beige,dtg operations inc,7900.0
2012,Chevrolet,Cruze,2LT,automatic,California,68058.0,gold,black,the hertz corporation,8900.0
2014,Ford,Focus ST,Base,manual,California,7085.0,blue,black,ford motor credit company llc,20500.0
2013,Hyundai,Elantra,GLS,automatic,California,37374.0,gray,gray,high bid trading co inc,12000.0
2007,BMW,6 Series,650i,automatic,California,80443.0,black,black,high bid trading co inc,17750.0
2013,Chevrolet,Camaro,SS,automatic,California,38429.0,gray,gray,avis corporation,23750.0
2011,Dodge,Journey,Mainstreet,automatic,California,67585.0,gold,beige,wells fargo dealer services,7300.0
2012,Chrysler,200,LX,automatic,California,56523.0,black,gray,dtg operations inc,9100.0
2010,UNKNOWN,UNKNOWN,UNKNOWN,automatic,California,71838.0,brown,black,the car exchange,9100.0
2013,Ford,Taurus,SEL,automatic,California,27754.0,silver,black,ge fleet services for itself/servicer,14500.0
2008,Chevrolet,Avalanche,LT,UNKNOWN,California,82098.0,gray,black,aaero sweet company,16000.0
2012,Hyundai,Genesis Coupe,2.0T,manual,California,65836.0,silver,black,onemain rem/m&m auto traders,12000.0
2002,Ford,Ranger,XLT,automatic,California,185990.0,white,beige,sierra auto investment co,2550.0
2012,Ford,Fiesta,SES,automatic,California,49241.0,red,black,dtg operations inc,8900.0
2012,BMW,X5,xDrive35d,automatic,California,48402.0,UNKNOWN,UNKNOWN,financial services remarketing/rail cars,33750.0
2000,Chevrolet,Malibu,LS,automatic,California,146057.0,white,beige,inland chevrolet,850.0
2002,Chevrolet,Impala,LS,automatic,California,127687.0,silver,gray,lincoln financial services,2300.0
2014,Honda,Civic,LX,automatic,California,17284.0,—,tan,midway hfc fleet,9000.0
2012,Honda,Civic,EX-L,automatic,California,29606.0,gray,gray,barber honda,14750.0
2011,Chevrolet,HHR,LT,automatic,California,68016.0,blue,black,cal west motors,6250.0
2012,Nissan,Leaf,SL,automatic,California,15724.0,silver,beige,nissan-infiniti lt,12000.0
2012,Ford,Fusion,SE,automatic,California,84993.0,—,gray,lease plan usa,9700.0
2014,Volkswagen,Passat,S PZEV,automatic,California,35291.0,gray,black,avis rac/san leandro,14800.0
