year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
1988,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Georgia,241751.0,black,black,titlemax/conyers ga1,700.0
2014,Kia,Rio,LX,UNKNOWN,Georgia,22055.0,silver,black,kia motors america  inc,11000.0
2014,Lincoln,Navigator,Base,automatic,Georgia,15468.0,black,gray,ars/enterprise,38100.0
2012,Ford,Focus,SE,automatic,Georgia,74640.0,black,black,capital one auto finance,8600.0
2014,Honda,Accord,Sport,automatic,Georgia,3652.0,gold,black,ahfc/honda lease trust/hvt  inc.,20200.0
2009,Buick,Enclave,CXL,automatic,Georgia,54691.0,silver,tan,mercedes benz of buckhead,16200.0
2005,Dodge,Ram Pickup 1500,SLT,automatic,Georgia,160165.0,silver,black,momentum motorcars,8000.0
2013,Chevrolet,Malibu,LS,automatic,Georgia,34041.0,black,gray,gm financial,11100.0
2007,Ford,Five Hundred,SEL,automatic,Georgia,123707.0,green,gray,bellamy strickland chev olds pon,4600.0
2013,Honda,Civic,LX,automatic,Georgia,18356.0,blue,gray,wells fargo dealer services,12900.0
2010,Honda,Accord,EX-L,automatic,Georgia,77251.0,gray,black,gwinnett place honda,12300.0
2007,Toyota,FJ Cruiser,Base,automatic,Georgia,177674.0,purple,black,jpmorgan chase bank n.a.,11700.0
2012,Nissan,Sentra,2.0 SR,UNKNOWN,Georgia,41622.0,gray,gray,nissan-infiniti lt,9800.0
2012,Ford,Focus,SEL,automatic,Georgia,89434.0,red,black,tdaf remarketing,6500.0
2004,Honda,Odyssey,EX-L,automatic,Georgia,117993.0,gray,gray,capital one auto finance,1800.0
2012,Scion,iQ,Base,automatic,Georgia,14821.0,gray,black,toyota financial services,9200.0
2014,Toyota,Yaris,LE,automatic,Georgia,31464.0,white,gray,rb motor finance/dba avis,11300.0
2011,Nissan,Murano,SL,automatic,Georgia,41253.0,white,beige,nissan-infiniti lt,18900.0
2011,Mazda,Mazda6,i Sport,automatic,Georgia,22768.0,silver,black,wells fargo financial acceptance,9800.0
2012,Mazda,Mazda3,i Touring,automatic,Georgia,55839.0,gray,black,the hertz corporation,9800.0
2014,Ford,Fusion,SE,automatic,Georgia,15213.0,—,black,lease plan usa,15200.0
2014,Ford,E-Series Van,E-250,automatic,Georgia,11002.0,white,gray,u-haul,20000.0
2007,Volvo,XC70,Base,automatic,Georgia,74064.0,blue,beige,jaguar porsche volvo of greenville,8600.0
2006,Toyota,Tundra,SR5,automatic,Georgia,92889.0,white,gray,bmw alphera/alphera financial services,11000.0
2014,Lincoln,MKS,Base,automatic,Georgia,25541.0,white,black,ars/manheim georgia,28100.0
1999,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Georgia,164784.0,gold,tan,carworks inc,1700.0
2005,GMC,Yukon XL,Denali,automatic,Georgia,162299.0,gray,gray,carworks inc,7500.0
2015,Kia,Sorento,LX,UNKNOWN,Georgia,10749.0,white,beige,kia motors america  inc,20000.0
2013,Kia,Sorento,SX,automatic,Georgia,32686.0,burgundy,black,jim ellis,21600.0
2009,Kia,Borrego,EX,automatic,Georgia,78091.0,black,black,remarketing by ge/the credit union loan source,11200.0
2013,Ford,Focus,SE,automatic,Georgia,8352.0,black,black,ford motor credit company llc pd,13400.0
2013,Nissan,Pathfinder,SL,automatic,Georgia,25673.0,gray,black,nissan motor acceptance corporation,23600.0
2005,Ford,Crown Victoria,LX,automatic,Georgia,162552.0,black,beige,automobile acceptance corp,2200.0
2012,Nissan,Altima,2.5,automatic,Georgia,41303.0,black,black,nissan-infiniti lt,13200.0
2004,BMW,7 Series,745i,automatic,Georgia,80574.0,black,tan,mercedes benz of buckhead,7800.0
2013,Nissan,Leaf,SL,automatic,Georgia,15456.0,black,black,nissan-infiniti lt,12000.0
2002,Nissan,Maxima,GLE,automatic,Georgia,153174.0,gray,black,nalley acura,2500.0
2009,Dodge,Journey,SXT,automatic,Georgia,97037.0,green,beige,santander consumer,5200.0
2005,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Georgia,178002.0,gray,black,tdaf remarketing,2500.0
2012,Ford,Edge,SEL,automatic,Georgia,21688.0,black,gray,ford motor credit company llc pd,21800.0
2013,Hyundai,Sonata,GLS,automatic,Georgia,38430.0,black,beige,hyundai motor finance,10900.0
2014,Mercedes-Benz,C-Class,C250 Sport,automatic,Georgia,16457.0,white,tan,mercedes benz of buckhead,23000.0
2008,Pontiac,G6,Value Leader,automatic,Georgia,124155.0,blue,black,rick hendrick chevrolet,3400.0
2009,Mercedes-Benz,CLK-Class,CLK350,automatic,Georgia,17509.0,black,black,mercedes benz of buckhead,23500.0
2011,Infiniti,G Sedan,G37 Journey,automatic,Georgia,28898.0,black,black,nissan infiniti lt,22400.0
2008,Honda,Odyssey,EX-L,automatic,Georgia,130645.0,blue,gray,lexus of greenville,7800.0
2014,Ford,F-150,XLT,automatic,Georgia,23231.0,red,gray,ars/enterprise,23500.0
2008,Buick,Enclave,CXL,automatic,Georgia,91763.0,beige,tan,jaguar porsche volvo of greenville,11300.0
1996,Ford,Escort,LX,automatic,Georgia,120973.0,green,gray,capital auto auction,500.0
2007,Hyundai,Accent,GS,automatic,Georgia,76756.0,orange,black,santander consumer,3200.0
2012,Kia,Sorento,EX,automatic,Georgia,39499.0,black,black,jpmorgan chase bank n.a.,19600.0
2014,Dodge,Durango,Citadel,automatic,Georgia,21624.0,burgundy,tan,easy car leasing llc dba brac of birmingham,29900.0
2011,Chevrolet,HHR,LT,automatic,Georgia,74487.0,gray,black,gm financial,6600.0
2010,Ford,Transit Connect,Cargo Van XLT,automatic,Georgia,128977.0,white,gray,ge fleet services for itself/servicer,8900.0
2008,Nissan,Titan,SE,automatic,Georgia,63920.0,silver,black,vw credit,10000.0
2012,Hyundai,Accent,GS,automatic,Georgia,61248.0,UNKNOWN,UNKNOWN,wells fargo dealer services,7400.0
2013,Kia,Forte,EX,automatic,Georgia,50633.0,white,gray,the hertz corporation,9400.0
2013,Toyota,Prius c,One,automatic,Georgia,33875.0,silver,gray,world omni financial corporation,10000.0
2011,Dodge,Durango,Crew,automatic,Georgia,83908.0,gray,black,tds auto brokers,14600.0
2012,Honda,Crosstour,EX-L,automatic,Georgia,61401.0,silver,black,cherokee ford inc,17900.0
2007,Chevrolet,Avalanche,LT,automatic,Georgia,169450.0,white,gray,north atlanta auto superstore,10100.0
2011,Chevrolet,Equinox,LTZ,automatic,Georgia,31722.0,blue,black,young motors llc,16400.0
2006,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Georgia,82640.0,white,beige,atlanta auto distributors llc,14500.0
2012,Ford,Fusion,SEL,automatic,Georgia,18775.0,white,tan,ford motor credit company llc pd,15700.0
2011,Ram,1500,Sport,automatic,Georgia,65866.0,red,gray,gm financial,19800.0
2007,Mercedes-Benz,R-Class,R350,automatic,Georgia,104139.0,black,black,capital one auto finance,8600.0
2005,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Georgia,155918.0,gold,tan,wiggles auto sales inc,6900.0
2004,Toyota,Highlander,Base,automatic,Georgia,113671.0,silver,gray,germain toyota of naples/germain scion of naples,8100.0
2013,Kia,Rio,LX,automatic,Georgia,47673.0,black,gray,capital one auto finance,9000.0
2014,Toyota,4Runner,SR5,automatic,Georgia,25221.0,black,black,toyota financial services/enterprise,29200.0
2007,GMC,Sierra 1500,Denali,automatic,Georgia,206613.0,black,black,hennessy mazda buick gmc,12800.0
2013,Volkswagen,Jetta,Base,UNKNOWN,Georgia,6464.0,silver,black,tdaf remarketing,10000.0
2007,Kia,Spectra,EX,automatic,Georgia,112059.0,blue,gray,automobile acceptance corp,3900.0
2014,Dodge,Journey,SE,automatic,Georgia,13668.0,silver,black,chrysler capital,13900.0
