year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2003,Toyota,Camry,LE,automatic,Florida,242143.0,gray,gray,elder ford of tampa,2800.0
2014,Chevrolet,Captiva Sport,LS Fleet,automatic,Florida,24390.0,white,black,gm remarketing,14000.0
2010,Toyota,Corolla,LE,automatic,Florida,66971.0,silver,gray,xtreme auto wholesalers inc,8500.0
2014,Dodge,Charger,SE,automatic,Florida,23339.0,gray,black,hertz corporation/gdp,15600.0
2011,Honda,CR-V,EX,automatic,Florida,44451.0,brown,black,remarketing by ge/west financial acceptance,14400.0
2011,Nissan,Maxima,3.5 SV,automatic,Florida,17082.0,red,black,nissan-infiniti lt,16600.0
2002,Ford,Focus,SE,automatic,Florida,142228.0,gold,beige,autonation toyota winter park,800.0
2014,Chrysler,Town and Country,Touring,automatic,Florida,29657.0,blue,black,pv holding inc/gdp,18200.0
2013,Ford,Taurus,SE,automatic,Florida,101146.0,black,tan,wheels exchange llc,10000.0
2005,Nissan,Altima,2.5 S,automatic,Florida,170501.0,white,gray,courtesy kia of brandon,1900.0
2012,Dodge,Charger,R/T,automatic,Florida,50104.0,gray,black,cire leasing,20500.0
2008,Nissan,Altima,2.5 S,automatic,Florida,118669.0,gray,black,sam galloway ford lincoln,6400.0
2009,Nissan,Sentra,2.0 S,automatic,Florida,108711.0,gold,gray,regional acceptance corporation / greenville,4300.0
2007,Honda,Civic,EX,automatic,Florida,127850.0,black,gray,expert auto group inc,5000.0
2012,Ford,F-150,XLT,automatic,Florida,109789.0,white,gray,westfall auto sales,18900.0
2013,Nissan,Altima,2.5,automatic,Florida,40797.0,burgundy,black,avis corporation,12800.0
2013,Toyota,Camry,SE,automatic,Florida,56198.0,silver,black,the hertz corporation,12000.0
2012,MINI,Cooper,Base,automatic,Florida,28074.0,white,—,bmw mini financial services,13000.0
2013,Lexus,GS 350,Base,automatic,Florida,17003.0,black,gray,lexus financial services,32400.0
2011,Cadillac,SRX,Luxury,automatic,Florida,45814.0,red,tan,margate volvo,20000.0
2011,Chevrolet,Traverse,LT2,automatic,Florida,37022.0,white,black,tdaf remarketing,20200.0
2013,Hyundai,Veloster,Base,automatic,Florida,12632.0,red,gray,hyundai of st augustine,14200.0
2013,Chrysler,200,LX,automatic,Florida,31668.0,gray,black,onesource/arlington toyota inc,10350.0
2013,Chevrolet,Equinox,LT,automatic,Florida,16051.0,silver,gray,gm financial leasing,18800.0
2009,Chevrolet,Silverado 1500,LS,automatic,Florida,143347.0,gray,black,westfall auto sales,12000.0
2012,Honda,CR-V,EX-L,automatic,Florida,27683.0,brown,gray,palm beach auto mall inc,21800.0
